epoch,train_loss,val_loss,val_top1,val_top5,lr
1,2.678642518694361,nan,nan,nan,5.083610755441741e-05
2,2.638929352412303,nan,nan,nan,0.00010073610755441742
3,2.70190290681226,nan,nan,nan,0.0001506361075544174
4,2.7663887920819232,nan,nan,nan,0.0002005361075544174
5,2.853391838745332,1.1745884028244018,72.06,90.898,0.00025043610755441745
6,2.9463776067643406,nan,nan,nan,0.0003003361075544174
7,3.040783414462159,nan,nan,nan,0.00035023610755441744
8,3.1293781282959765,nan,nan,nan,0.00040013610755441746
9,3.2258045993907505,nan,nan,nan,0.0004500361075544174
10,3.310891192640141,1.7185702744293212,60.438,83.734,0.0004999361075544175
11,3.345650598578508,nan,nan,nan,0.00048551912653325074
12,3.3268786152865304,nan,nan,nan,0.00048279886679508194
13,3.301242785783492,nan,nan,nan,0.0004798537970778769
14,3.285075126323138,nan,nan,nan,0.0004766868238098839
15,3.245140754764425,1.7802641387939453,59.568,82.578,0.00047330107241136507
16,3.228537181580723,nan,nan,nan,0.00046969988421018415
17,3.1941853610562605,nan,nan,nan,0.0004658868131443189
18,3.1651194472624304,nan,nan,nan,0.0004618656222545537
19,3.1353868033913432,nan,nan,nan,0.00045764027997081253
20,3.101925940122861,1.8292075875854492,58.872,82.088,0.00045321495619579763
21,3.0779773109853648,nan,nan,nan,0.00044859401818979924
22,3.053906621151483,nan,nan,nan,0.00044378202626073647
23,3.0245361622713895,nan,nan,nan,0.0004387837292636847
24,2.982465200326507,nan,nan,nan,0.00043360405991432814
25,2.9610802513689145,1.8715438144683838,58.302,81.466,0.0004282481299209656
26,2.9281473945869223,nan,nan,nan,0.0004227212249398713
27,2.914632533484934,nan,nan,nan,0.0004170287993589902
28,2.8821638798133664,nan,nan,nan,0.00041117647091511573
29,2.849285025755361,nan,nan,nan,0.00040517001514986205
30,2.8275351678516127,1.9131308737945556,58.028,80.912,0.00039901535970990093
31,2.7989524999745523,nan,nan,nan,0.0003927185784970913
32,2.770387476903986,nan,nan,nan,0.00038628588567427057
33,2.75710521235814,nan,nan,nan,0.00037972362953262633
34,2.7237804937301617,nan,nan,nan,0.00037303828622669964
